"ID","Title","Answer"
"1","Why don't skeletons fight each other?","They don't have the guts."
"2","What did the janitor say when he jumped out of the closet?","Supplies!"
"3","I'm reading a book on anti-gravity.","It's impossible to put down!"
"4","Why did the golfer bring extra socks?","In case he got a hole in one."
"5","Why did the golfer bring two pairs of pants?","In case he got a hole in one."
"6","What’s orange and sounds like a parrot?","A carrot."
"7","How do you find Will Smith in the snow?","You look for fresh prints."
"8","Why was the stadium so cool?","It was filled with fans."
"9","What do you call a belt made out of watches?","A waist of time."
"10","What do you call a fish with no eyes?","Fsh."
"11","Why did the barber win the race?","Because he knew all the shortcuts."
"12","Why did the cookie go to the hospital?","Because he felt crummy."
"13","Why was the broom late?","It swept in."
"14","What kind of shoes do ninjas wear?","Sneakers."
"15","Why did the orange stop halfway up the hill?","It ran out of juice."
"16","Why do bees have sticky hair?","Because they use honeycombs."
"17","Why did the coffee file a police report?","It got mugged."
"18","Why don’t scientists trust atoms?","Because they make up everything!"
"19","Why are ghosts bad at lying?","Because they are too transparent."
"20","Why can't your nose be 12 inches long?","Because then it would be a foot."
"21","How do you make an octopus laugh?","With ten-tickles."
"22","Why did the squirrel bring a ladder?","To get to the high nuts."
"23","What do you get from a pampered cow?","Spoiled milk."
"24","What’s a robot’s favorite snack?","Computer chips."
"25","Did you hear about the restaurant on the moon?","Great food, no atmosphere."
"26","What’s the best way to watch a fly fishing tournament?","Live stream."
"27","What kind of music do mummies listen to?","Wrap music."
"28","Why did the banana get promoted?","Because it had appeal."
"29","Why did the banana go to the doctor?","Because it wasn’t peeling well."
"30","Why did the tomato turn red?","Because it saw the salad dressing!"
"31","Why did the skeleton stay home from the dance?","He had no body to go with."
"32","How do cows stay up to date?","They read the moos-paper."
"33","Why don't eggs tell jokes?","They'd crack each other up."
"34","Why did the snowman look through the bag of carrots?","He was picking his nose."
"35","How does a vampire start a letter?","Tomb it may concern..."
"36","Why did the frog take the bus to work?","His car got toad."
"37","What do you call a dog that can do magic?","A labracadabrador."
"38","What do you call an elephant that doesn’t matter?","An irrelephant."
"39","Why do chickens sit on eggs?","Because they don't have chairs."
"40","Why was the calendar so popular?","Because it had a lot of dates."
"41","Why did the man get hit by a bike every day?","He was stuck in a vicious cycle."
"42","How do you make a tissue dance?","Put a little boogie in it!"
"43","Why did the scarecrow become a successful neurosurgeon?","He was outstanding in his field… and had a lot of patients."
"44","What do you call a lazy kangaroo?","A pouch potato."
"45","Why did the math book look sad?","Because it had too many problems."
"46","What do you get when you cross a vampire and a snowman?","Frostbite."
"47","Why did the baker stop making donuts?","He got tired of the hole thing."
"48","How do you catch a squirrel?","Climb a tree and act like a nut!"
"49","How do you fix a cracked pumpkin?","With a pumpkin patch."
"50","How do you organize a space party?","You planet."
"51","What do you call a sleeping bull?","A bulldozer."
"52","Why did the chicken go to the séance?","To talk to the other side."
"53","What’s a vampire’s favorite fruit?","A blood orange."
"54","What do you call a bear with no teeth?","A gummy bear."
"55","What did the zero say to the eight?","Nice belt!"
"56","Why did the cow win an award?","Because he was outstanding in his field."
"57","Why did the gym close down?","It just didn’t work out."
"58","What do you call a snowman with a six-pack?","An abdominal snowman."
"59","How do you tell if a vampire is sick?","By how much he’s coffin."
"60","Why don’t cows have any money?","Because the farmers milk them dry."
"61","Why don’t crabs give to charity?","Because they’re shellfish."
"62","What did one wall say to the other?","I’ll meet you at the corner."
"63","What’s a skeleton’s least favorite room in the house?","The living room."
"64","Why did the smartphone need glasses?","It lost its contacts."
"65","What does a lemon say when it answers the phone?","Yellow!"
"66","Why are elevator jokes so classic and good?","They work on many levels."
"67","Why don’t oysters donate to charity?","Because they are shellfish."
"68","What did the big flower say to the little flower?","Hey, bud!"
"69","How does a penguin build its house?","Igloos it together."
"70","Why did the computer go to therapy?","It had too many tabs open."
"71","How do you make a lemon drop?","Just let it fall."
"72","What did the bee say to the flower?","Hey, bud, when do you open?"
"73","Why did the stadium get hot after the game?","All the fans left."
"74","What kind of tree fits in your hand?","A palm tree!"
"75","How does a train eat?","It goes chew chew."
"76","Why are cats bad storytellers?","Because they only have one tail."
"77","Why did the music teacher go to jail?","Because she got caught with too many notes."
"78","Why can't a nose be twelve inches long?","Because then it would be a foot."
"79","Why couldn’t the bicycle stand up by itself?","It was two-tired."
"80","What’s brown and sticky?","A stick."
"81","Why did the chicken sit in the middle of the road?","He wanted to lay it on the line."
"82","Why did the dog sit in the shade?","Because he didn’t want to be a hot dog."
"83","What do you call a fake noodle?","An Impasta."
"84","How do you count cows?","With a cowculator."
"85","What do you call cheese that isn't yours?","Nacho cheese."
"86","What do you call a pile of cats?","A meowtain."
"87","Why can’t you hear a pterodactyl go to the bathroom?","Because the 'P' is silent."
"88","Why did the man run around his bed?","Because he was trying to catch up on his sleep!"
"89","Why don’t melons get married?","Because they cantaloupe."
"90","How do you make holy water?","You boil the hell out of it."
"91","What did the ocean say to the beach?","Nothing, it just waved."
"92","How do you keep a bagel from getting away?","Put lox on it."
"93","Why did the scarecrow win an award?","Because he was outstanding in his field."
"94","What do you call a can opener that doesn’t work?","A can’t opener."
"95","How do you stop a bull from charging?","Cancel its credit card."
"96","Why don’t some couples go to the gym?","Because some relationships don’t work out."
"97","What did the grape do when he got stepped on?","Nothing, he just let out a little wine."
"98","What do you call a fish wearing a bowtie?","Sofishticated."
"99","Why did the mushroom get invited to the party?","Because he was a fungi."
"100","Why did the can crusher quit his job?","Because it was soda pressing."
